timestamp,command,gesture,text,x,y,status,message,latency_ms
2026-05-16 11:10:10,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,51.34
2026-05-16 11:10:26,INPUT_TEXT,,Hello,,,success,Input text: Hello,57.25
2026-05-16 11:10:50,OPEN_THAIJO,,,,,success,Opened ThaiJO website,141.56
2026-05-16 11:10:58,INPUT_TEXT,,machine learning,,,success,Input text: machine learning,56.34
2026-05-16 11:11:01,CONFIRM,PINCH_CONFIRM,,,,success,Pressed Enter,50.96
2026-05-16 11:17:40,OPEN_THAIJO,,,,,success,Opened ThaiJO website,142.43
2026-05-16 11:17:48,INPUT_TEXT,,machine learning,,,success,Input text: machine learning,57.49
2026-05-16 11:17:51,CONFIRM,PINCH_CONFIRM,,,,success,Pressed Enter,50.99
2026-05-16 11:18:10,OPEN_FIRST_RESULT,PINCH_CONFIRM,,,,success,Opened first search result,458.57
2026-05-16 11:22:42,OPEN_THAIJO,,,,,success,Opened ThaiJO website,140.61
2026-05-16 11:22:53,FOCUS_THAIJO_SEARCH,,,,,success,"Focused ThaiJO search box at (960, 464)",59.77
2026-05-16 11:23:15,FOCUS_THAIJO_SEARCH,,,,,success,"Focused ThaiJO search box at (960, 464)",53.06
2026-05-16 11:28:38,OPEN_THAIJO,,,,,success,Opened ThaiJO website,143.88
2026-05-16 11:28:49,FOCUS_THAIJO_SEARCH_TAB,,,,,success,Focused ThaiJO search box by pressing Tab 1 time(s),151.54
2026-05-16 11:38:43,OPEN_THAIJO_AUTO,,,,,success,Opened ThaiJO with Selenium,3259.95
2026-05-16 11:39:14,THAIJO_INPUT_SEARCH,,machine learning,,,error,"Message: 
",
2026-05-16 11:39:45,THAIJO_INPUT_SEARCH,,machine learning,,,error,"Message: 
",
2026-05-16 11:39:59,THAIJO_INPUT_SEARCH,,12,,,success,Input ThaiJO keyword: 12,121.42
2026-05-16 11:51:00,OPEN_THAIJO,,,,,success,Opened ThaiJO,1716.73
2026-05-16 11:51:00,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,324.96
2026-05-16 11:51:07,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,44.27
2026-05-16 12:21:29,OPEN_THAIJO,,,,,success,Opened ThaiJO,1533.18
2026-05-16 12:21:30,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,348.38
2026-05-16 12:21:33,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,37.63
2026-05-16 12:21:49,THAIJO_OPEN_FIRST_RESULT,PINCH_CONFIRM,,,,success,First result not found,10111.8
2026-05-16 12:24:14,DEBUG_LINKS,,,,,success,Unknown command: DEBUG_LINKS,0.28
2026-05-16 12:24:59,OPEN_THAIJO,,,,,success,Opened ThaiJO,1683.47
2026-05-16 12:24:59,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,343.39
2026-05-16 12:25:03,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,39.25
2026-05-16 12:25:20,THAIJO_OPEN_FIRST_RESULT,PINCH_CONFIRM,,,,success,First result not found,10129.25
2026-05-16 12:25:23,DEBUG_LINKS,,,,,success,Printed 20 links,8.59
